pasaje|texto|interpretación|temas|área_vida
Juan 14:16-17|Y yo rogaré al Padre, y os dará otro Consolador, para que esté con vosotros para siempre: Al Espíritu de verdad, al cual el mundo no puede recibir, porque no le ve, ni le conoce: mas vosotros le conocéis; porque está con vosotros, y será en vosotros.|"Jesús promete enviar al Espíritu Santo, llamado aquí el ""Consolador"" o ""Espíritu de verdad"", para que esté siempre con los creyentes. Este Espíritu no es reconocido por el mundo porque no lo ve ni lo conoce, pero los discípulos lo conocen porque ya está con ellos y estará en ellos."|['Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Salud mental/emocional', 'Desarrollo/crecimiento personal']
Juan 14:18|No os dejaré huérfanos: vendré á vosotros.|Jesús está consolando a sus discípulos, asegurándoles que no los dejará solos después de su partida. Promete que vendrá a ellos, refiriéndose al envío del Espíritu Santo para guiarlos y acompañarlos.|['separación']|['Relaciones familiares/pareja', 'Salud mental/emocional', 'Misión de vida']
Juan 14:21-24|El que tiene mis mandamientos, y los guarda, aquél es el que me ama; y el que me ama, será amado de mi Padre, y yo le amaré, y me manifestaré á él. Dícele Judas, no el Iscariote: Señor, ¿qué hay porque te hayas de manifestar á nosotros, y no al mundo? Respondió Jesús, y díjole: El que me ama, mi palabra guardará; y mi Padre le amará, y vendremos á él, y haremos con él morada. El que no me ama, no guarda mis palabras: y la palabra que habéis oído, no es mía, sino del Padre que me envió.|Jesús explica que aquellos que siguen sus mandamientos demuestran su amor por Él. En respuesta, tanto Jesús como el Padre amarán a esa persona y se manifestarán a ella. Judas (no el Iscariote) pregunta por qué Jesús se manifiesta solo a sus seguidores y no al mundo. Jesús responde que aquellos que lo aman guardarán su palabra, y tanto Él como el Padre harán morada en ellos. Los que no lo aman no guardan sus palabras, y estas palabras provienen del Padre.|['amor']|['Relaciones familiares/pareja', 'Misión de vida', 'Desarrollo/crecimiento personal']
Juan 14:26|Estas cosas os he hablado estando con vosotros.|Jesús está hablando a sus discípulos sobre el Espíritu Santo, el Consolador, que el Padre enviará en su nombre. Este Espíritu les enseñará todas las cosas y les recordará todo lo que Jesús les ha dicho.|['Jesús, el hijo de Dios - simplicidad']|['Desarrollo/crecimiento personal', 'Misión de vida']
Juan 14:27|La paz os dejo, mi paz os doy: no como el mundo la da, yo os la doy. No se turbe vuestro corazón, ni tenga miedo.|Jesús está ofreciendo una paz que es diferente a la paz que el mundo puede ofrecer. La paz de Jesús es duradera y profunda, no depende de circunstancias externas. Él anima a sus seguidores a no dejarse llevar por la ansiedad o el miedo.|['libertad del miedo', 'paz']|['Salud mental/emocional', 'Desarrollo/crecimiento personal']
Juan 14:28|Habéis oído cómo yo os he dicho: Voy, y vengo á vosotros. Si me amaseis, ciertamente os gozaríais, porque he dicho que voy al Padre: porque el Padre mayor es que yo.|Jesús está hablando a sus discípulos sobre su partida y regreso. Les dice que deberían alegrarse porque va al Padre, quien es mayor que Él. Esto subraya la relación especial entre Jesús y Dios Padre, y la necesidad de confiar en el plan divino.|['Jesús, el hijo de Dios - simplicidad']|['Relaciones familiares/pareja', 'Salud mental/emocional', 'Misión de vida']
Juan 14:6|Jesús le dice: Yo soy el camino, y la verdad, y la vida: nadie viene al Padre, sino por mí.|Jesús está explicando que Él es el único camino para llegar a Dios Padre. Esto significa que la salvación y la relación con Dios se obtienen a través de Jesús.|['salvación', 'Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 14:9-11|Jesús le dice: ¿Tanto tiempo ha que estoy con vosotros, y no me has conocido, Felipe? El que me ha visto, ha visto al Padre; ¿cómo, pues, dices tú: Muéstranos el Padre? ¿No crees que yo soy en el Padre, y el Padre en mí? Las palabras que yo os hablo, no las hablo de mí mismo: mas el Padre que está en mí, él hace las obras. Creedme que yo soy en el Padre, y el Padre en mí: de otra manera, creedme por las mismas obras.|Jesús está explicando a Felipe que Él y el Padre son uno. Al ver a Jesús, se ve al Padre, porque Jesús actúa y habla en nombre del Padre. Las obras de Jesús son evidencia de esta unión.|['Jesús, el hijo de Dios - simplicidad']|['Relaciones familiares/pareja', 'Misión de vida', 'Desarrollo/crecimiento personal']
Juan 15:11|Estas cosas os he hablado, para que mi gozo esté en vosotros, y vuestro gozo sea cumplido.|Jesús está hablando a sus discípulos, explicándoles que todo lo que les ha enseñado es para que compartan su alegría y para que su alegría sea completa.|['felicidad']|['Desarrollo/crecimiento personal', 'Salud mental/emocional', 'Relaciones familiares/pareja']
Juan 15:13|Nadie tiene mayor amor que este, que ponga alguno su vida por sus amigos.|Jesús está hablando del amor supremo, que es sacrificar la propia vida por los amigos. Este es el mayor acto de amor y entrega que uno puede mostrar.|['amor']|['Amistad', 'Desarrollo/crecimiento personal']
Juan 15:2|Todo pámpano que en mí no lleva fruto, le quitará: y todo aquel que lleva fruto, le limpiará, para que lleve más fruto.|Jesús usa la metáfora de la vid y los pámpanos (ramas) para explicar que Dios, como el viñador, corta las ramas que no dan fruto y poda las que sí dan fruto para que produzcan aún más. Esto simboliza la necesidad de eliminar lo que no contribuye a nuestra vida espiritual y mejorar lo que sí lo hace.|['crecimiento espiritual']|['Desarrollo/crecimiento personal', 'Misión de vida']
Juan 15:26|Empero cuando viniere el Consolador, el cual yo os enviaré del Padre, el Espíritu de verdad, el cual procede del Padre, él dará testimonio de mí.|Jesús está hablando del Espíritu Santo, a quien llama el Consolador. Él promete enviar al Espíritu Santo desde el Padre. El Espíritu Santo, también llamado el Espíritu de verdad, dará testimonio de Jesús.|['Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 15:3|Ya vosotros sois limpios por la palabra que os he hablado.|Jesús les dice a sus discípulos que ya están purificados y limpios espiritualmente gracias a las enseñanzas que Él les ha dado.|['la palabra']|['Desarrollo/crecimiento personal', 'Misión de vida']
Juan 15:4|Estad en mí, y yo en vosotros. Como el pámpano no puede llevar fruto de sí mismo, si no estuviere en la vid; así ni vosotros, si no estuviereis en mí.|Jesús usa la metáfora de la vid y los pámpanos (ramas) para explicar que los creyentes deben permanecer en Él para llevar una vida fructífera. Así como una rama no puede dar fruto si no está conectada a la vid, los creyentes no pueden hacer nada sin estar unidos a Cristo.|['crecimiento espiritual']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Relaciones familiares/pareja']
Juan 15:5|Yo soy la vid, vosotros los pámpanos: el que está en mí, y yo en él, éste lleva mucho fruto; porque sin mí nada podéis hacer.|Jesús se compara a sí mismo con una vid y a sus seguidores con los pámpanos (ramas). La metáfora indica que, así como las ramas dependen de la vid para obtener nutrientes y producir frutos, los creyentes deben permanecer en Jesús para llevar una vida fructífera. Sin Él, no pueden lograr nada de valor espiritual.|['valor y audacia']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Relaciones familiares/pareja']
Juan 15:7|Si estuviereis en mí, y mis palabras estuvieren en vosotros, pedid todo lo que quisiereis, y os será hecho.|Jesús está diciendo que si permanecemos en Él y sus enseñanzas permanecen en nosotros, podemos pedir lo que deseamos y se nos concederá. Esto implica una relación profunda y continua con Cristo y una vida alineada con sus enseñanzas.|['oración']|['Relaciones familiares/pareja', 'Desarrollo/crecimiento personal', 'Misión de vida']
Juan 16:21|La mujer cuando pare, tiene dolor, porque es venida su hora; mas después que ha parido un niño, ya no se acuerda de la angustia, por el gozo de que haya nacido un hombre en el mundo.|Jesús utiliza la metáfora del parto para ilustrar cómo el dolor y la angustia pueden transformarse en alegría y gozo. Aunque el proceso de dar a luz es doloroso, la alegría de tener un hijo hace que el sufrimiento sea olvidado. Esto se aplica a las dificultades que los discípulos enfrentarán, pero que eventualmente se convertirán en gozo.|['maternidad']|['Salud física', 'Salud mental/emocional', 'Relaciones familiares/pareja']
Juan 16:23, 24|Y aquel día no me preguntaréis nada. De cierto, de cierto os digo, que todo cuanto pidiereis al Padre en mi nombre, os lo dará. Hasta ahora nada habéis pedido en mi nombre: pedid, y recibiréis, para que vuestro gozo sea cumplido.|Jesús está hablando de un tiempo futuro cuando sus discípulos no necesitarán hacerle preguntas directamente porque tendrán acceso directo al Padre a través de la oración en su nombre. Él asegura que cualquier cosa que pidan al Padre en su nombre, les será concedida, para que su alegría sea completa.|['oración']|['Misión de vida', 'Salud mental/emocional', 'Desarrollo/crecimiento personal']
Juan 16:33|Estas cosas os he hablado, para que en mí tengáis paz. En el mundo tendréis aflicción: mas confiad, yo he vencido al mundo.|Jesús está consolando a sus discípulos, diciéndoles que aunque enfrentarán dificultades y sufrimientos en el mundo, pueden encontrar paz en Él. Les asegura que ha vencido al mundo, lo que significa que su victoria sobre el pecado y la muerte les da esperanza y fortaleza.|['gratitud', 'paz']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Misión de vida']
Juan 17:22-23|Y yo, la gloria que me diste les he dado; para que sean una cosa, como también nosotros somos una cosa. Yo en ellos, y tú en mí, para que sean consumadamente una cosa; que el mundo conozca que tú me enviaste, y que los has amado, como también á mí me has amado.|"Jesús está hablando de la unidad entre sus seguidores, comparándola con la unidad que Él tiene con el Padre. La ""gloria"" se refiere a la presencia y el amor de Dios que Jesús ha compartido con sus discípulos. Esta unidad y amor deben ser tan evidentes que el mundo reconozca que Dios envió a Jesús y que ama a sus seguidores."|['Jesús, el hijo de Dios - simplicidad']|['Relaciones familiares/pareja', 'Amistad', 'Misión de vida']
Juan 17:3|Esta empero es la vida eterna: que te conozcan el solo Dios verdadero, y á Jesucristo, al cual has enviado.|Jesús está explicando que la vida eterna consiste en conocer al único Dios verdadero y a Jesucristo, quien fue enviado por Dios.|['Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 19:10, 11|Entonces dícele Pilato: ¿A mí no me hablas? ¿no sabes que tengo potestad para crucificarte, y que tengo potestad para soltarte? Respondió Jesús: Ninguna potestad tendrías contra mí, si no te fuese dado de arriba: por tanto, el que á ti me ha entregado, mayor pecado tiene.|Pilato le recuerda a Jesús su autoridad para crucificarlo o liberarlo. Jesús responde que cualquier autoridad que Pilato tenga le ha sido dada por Dios, y que aquellos que lo han entregado a Pilato tienen un pecado mayor.|['legalidades']|['Misión de vida', 'Relaciones familiares/pareja', 'Salud mental/emocional']
Juan 1:1, 14|EN el principio era el Verbo, y el Verbo era con Dios, y el Verbo era Dios. Y aquel Verbo fué hecho carne, y habitó entre nosotros (y vimos su gloria, gloria como del unigénito del Padre), lleno de gracia y de verdad.|"El ""Verbo"" se refiere a Jesucristo, quien existía desde el principio con Dios y es Dios mismo. Este Verbo se hizo carne, es decir, Jesús se hizo humano y vivió entre nosotros, mostrando la gloria de Dios."|['la palabra']|['Misión de vida', 'Desarrollo/crecimiento personal', 'Relaciones familiares/pareja']
Juan 1:1-3|EN el principio era el Verbo, y el Verbo era con Dios, y el Verbo era Dios. Este era en el principio con Dios. Todas las cosas por él fueron hechas; y sin él nada de lo que es hecho, fué hecho.|"El ""Verbo"" se refiere a Jesucristo, quien existía desde el principio con Dios y es Dios mismo. Este pasaje subraya la divinidad de Jesús y su papel en la creación del mundo."|['Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 1:12|Mas á todos los que le recibieron, dióles potestad de ser hechos hijos de Dios, á los que creen en su nombre: |Este versículo nos dice que todos aquellos que aceptan a Jesús y creen en su nombre reciben el derecho de ser llamados hijos de Dios. Es una promesa de adopción divina para los creyentes.|['salvación']|['Relaciones familiares/pareja', 'Desarrollo/crecimiento personal', 'Misión de vida']
Juan 1:14|Y aquel Verbo fué hecho carne, y habitó entre nosotros (y vimos su gloria, gloria como del unigénito del Padre), lleno de gracia y de verdad.|Este versículo habla de la encarnación de Jesucristo, quien es el Verbo (o Palabra) de Dios hecho carne. Significa que Dios se hizo humano en la persona de Jesús y vivió entre nosotros, mostrando su gloria divina y lleno de gracia y verdad.|['Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 1:18|A Dios nadie le vió jamás: el unigénito Hijo, que está en el seno del Padre, él le declaró.|Este versículo nos dice que nadie ha visto a Dios directamente. Sin embargo, Jesús, el Hijo unigénito, que está en íntima relación con el Padre, ha revelado a Dios a la humanidad.|['Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 1:3|Todas las cosas por él fueron hechas; y sin él nada de lo que es hecho, fué hecho.|Este versículo subraya la creencia cristiana de que todo en el universo fue creado por Dios a través de Jesucristo. No hay nada en la creación que no haya sido hecho por Él.|['creación/evolución']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 21:15|Y cuando hubieron comido, Jesús dijo á Simón Pedro: Simón, hijo de Jonás, ¿me amas más que estos? Dícele; Sí Señor: tú sabes que te amo. Dícele: Apacienta mis corderos.|"En este pasaje, Jesús pregunta a Pedro si lo ama más que los otros discípulos. Pedro responde afirmativamente, y Jesús le encomienda la tarea de cuidar de sus seguidores, simbolizados como ""corderos"". Este diálogo subraya la importancia del amor y la responsabilidad pastoral."|['disciplina/niños']|['Relaciones familiares/pareja', 'Misión de vida', 'Desarrollo/crecimiento personal']
Juan 21:16|Vuélvele á decir la segunda vez: Simón, hijo de Jonás, ¿me amas? Respóndele: Sí, Señor: tú sabes que te amo. Dícele: Apacienta mis ovejas.|"En este pasaje, Jesús le pregunta a Pedro por segunda vez si lo ama. Pedro responde afirmativamente, y Jesús le dice que cuide de sus seguidores, simbolizados como ""ovejas"". Esto subraya la responsabilidad de Pedro de liderar y cuidar a la comunidad cristiana."|['pastores y líderes']|['Relaciones familiares/pareja', 'Misión de vida', 'Desarrollo/crecimiento personal']
Juan 3:16|Porque de tal manera amó Dios al mundo, que ha dado á su Hijo unigénito, para que todo aquel que en él cree, no se pierda, mas tenga vida eterna.|Este versículo expresa el amor inmenso de Dios por la humanidad, al enviar a su único Hijo, Jesucristo, para salvar a todos los que creen en Él y ofrecerles la vida eterna.|['salvación', 'amor']|['Misión de vida', 'Desarrollo/crecimiento personal', 'Salud mental/emocional']
Juan 3:3|Respondió Jesús, y díjole: De cierto, de cierto te digo, que el que no naciere otra vez, no puede ver el reino de Dios.|Jesús está hablando de la necesidad de un renacimiento espiritual para poder entrar en el reino de Dios. Este renacimiento no es físico, sino espiritual, implicando una transformación interna y una nueva relación con Dios.|['salvación']|['Desarrollo/crecimiento personal', 'Misión de vida']
Juan 3:30|A él conviene crecer, mas á mí menguar.|Juan el Bautista está hablando de Jesús y de sí mismo. Él reconoce que su misión es preparar el camino para Jesús y que ahora que Jesús ha comenzado su ministerio, es apropiado que Jesús crezca en importancia mientras que él, Juan, disminuya.|['crecimiento espiritual']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 3:36|El que cree en el Hijo, tiene vida eterna; mas el que es incrédulo al Hijo, no verá la vida, sino que la ira de Dios está sobre él.|Este versículo habla sobre la importancia de creer en Jesucristo para obtener la vida eterna. Aquellos que no creen en Él no tendrán esta vida eterna y estarán bajo la ira de Dios.|['salvación']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 4:24|Dios es Espíritu; y los que le adoran, en espíritu y en verdad es necesario que adoren.|Este versículo subraya la naturaleza espiritual de Dios y la necesidad de que la adoración sea genuina y sincera, no solo una práctica externa.|['Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Desarrollo/crecimiento personal']
Juan 5:18|Entonces, por tanto, más procuraban los Judíos matarle, porque no sólo quebrantaba el sábado, sino que también á su Padre llamaba Dios, haciéndose igual á Dios.|En este versículo, los judíos querían matar a Jesús porque, en su opinión, violaba el sábado y se hacía igual a Dios al llamar a Dios su Padre. Esto muestra la creciente oposición hacia Jesús debido a sus afirmaciones y acciones.|['Jesús, el hijo de Dios - simplicidad']|['Relaciones familiares/pareja', 'Salud mental/emocional', 'Misión de vida']
Juan 6:63|El espíritu es el que da vida; la carne nada aprovecha: las palabras que yo os he hablado, son espíritu y son vida.|"Jesús está explicando que el Espíritu Santo es quien da la verdadera vida espiritual y eterna. La ""carne"" aquí se refiere a los esfuerzos humanos y las cosas materiales, que no tienen valor en comparación con la vida espiritual. Las palabras de Jesús son espirituales y dan vida eterna."|['la palabra']|['Misión de vida', 'Desarrollo/crecimiento personal', 'Salud mental/emocional']
Juan 7:24|No juzguéis según lo que parece, mas juzgad justo juicio.|Jesús nos advierte que no debemos juzgar a las personas basándonos en apariencias superficiales, sino que debemos hacer juicios justos y basados en la verdad.|['sabiduria']|['Relaciones familiares/pareja', 'Amistad', 'Desarrollo/crecimiento personal']
Juan 8:10-11|Y enderezándose Jesús, y no viendo á nadie más que á la mujer, díjole: ¿Mujer, dónde están los que te acusaban? ¿Ninguno te ha condenado? Y ella dijo: Señor, ninguno. Entonces Jesús le dijo: Ni yo te condeno: vete, y no peques más.|Jesús muestra misericordia y perdón a la mujer adúltera, destacando la importancia de no juzgar a los demás y de buscar la redención personal.|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Salud mental/emocional', 'Desarrollo/crecimiento personal']
Juan 8:11|Y ella dijo: Señor, ninguno. Entonces Jesús le dijo: Ni yo te condeno: vete, y no peques más.|En este fragmento, Jesús muestra misericordia a una mujer acusada de adulterio. Al no condenarla, Jesús enfatiza el perdón y la oportunidad de redimirse, pero también le advierte que no vuelva a pecar, subrayando la importancia de cambiar de vida.|['perdón y misericordia']|['Relaciones familiares/pareja', 'Desarrollo/crecimiento personal', 'Salud mental/emocional']
Juan 8:24|Por eso os dije que moriréis en vuestros pecados: porque si no creyereis que yo soy, en vuestros pecados moriréis.|Jesús está hablando sobre la importancia de creer en Él como el Hijo de Dios para obtener la salvación. Si las personas no creen en Él, morirán en sus pecados, es decir, no recibirán el perdón y la vida eterna.|['Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Salud espiritual']
Juan 8:36|Así que, si el Hijo os libertare, seréis verdaderamente libres.|Jesús está hablando de la libertad espiritual que Él ofrece. No se refiere a una libertad física o política, sino a la liberación del pecado y de la esclavitud espiritual.|['vicio']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Salud mental/emocional']
Juan 8:58|Díjoles Jesús: De cierto, de cierto os digo: Antes que Abraham fuese, yo soy.|"Jesús está afirmando su preexistencia y divinidad al decir que existía antes de Abraham, utilizando la expresión ""yo soy"", que es una referencia al nombre de Dios revelado a Moisés en el Antiguo Testamento."|['Jesús, el hijo de Dios - simplicidad']|['Misión de vida', 'Desarrollo/crecimiento personal']
Judas 1:3|Amados, por la gran solicitud que tenía de escribiros de la común salud, me ha sido necesario escribiros amonestándoos que contendáis eficazmente por la fe que ha sido una vez dada á los santos.|El autor, Judas, expresa su deseo de escribir sobre la salvación común, pero siente la necesidad de exhortar a los creyentes a defender vigorosamente la fe que ha sido transmitida a los santos.|['batalla de la fe']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Salud mental/emocional']
Lamentaciones 2:19|Levántate, da voces en la noche, en el principio de las velas; Derrama como agua tu corazón ante la presencia del Señor; Alza tus manos á él por la vida de tus pequeñitos, Que desfallecen de hambre en las entradas de todas las calles.|Este versículo llama a levantarse y clamar a Dios durante la noche, derramando el corazón en oración y levantando las manos en súplica por la vida de los niños que están sufriendo de hambre.|['oración']|['Salud física', 'Salud mental/emocional', 'Relaciones familiares/pareja']
Lamentaciones 3:25, 26|Bueno es Jehová á los que en él esperan, al alma que le buscare. Bueno es esperar callando en la salud de Jehová.|El fragmento habla sobre la bondad de Dios hacia aquellos que esperan en Él y buscan Su presencia. También resalta la importancia de esperar en silencio y con paciencia la salvación que proviene de Dios.|['descanso en el señor']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Misión de vida']
Lamentaciones 3:31-33|Porque el Señor no desechará para siempre: Antes si afligiere, también se compadecerá según la multitud de sus misericordias. Porque no aflige ni congoja de su corazón á los hijos de los hombres.|Este fragmento nos recuerda que aunque Dios permite el sufrimiento, no lo hace con intención de causar dolor permanente. Su compasión y misericordia son abundantes, y Él no desea afligir a la humanidad de manera definitiva.|['fuerza y ánimo']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Misión de vida']
Lamentaciones 3:40, 41|Escudriñemos nuestros caminos, y busquemos, y volvámonos a Jehová. Levantemos nuestros corazones con las manos a Dios en los cielos.|"El fragmento nos invita a reflexionar sobre nuestras acciones y a buscar una relación más cercana con Dios. ""Escudriñemos nuestros caminos"" significa examinar nuestras vidas y comportamientos. ""Levantemos nuestros corazones con las manos a Dios en los cielos"" es una metáfora que sugiere orar y rendirnos a Dios con sinceridad."|['oración']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Salud mental/emocional']
Lamentaciones 3:41|Levantemos nuestros corazones con las manos a Dios en los cielos.|Este versículo nos invita a elevar nuestros corazones y nuestras manos a Dios, simbolizando una entrega total y una búsqueda de conexión espiritual con el Creador.|['gratitud']|['Misión de vida', 'Salud mental/emocional']
Levítico 18:8, 20|La desnudez de la mujer de tu padre no descubrirás; es la desnudez de tu padre. ..Además, no tendrás acto carnal con la mujer de tu prójimo, contaminándote en ella.|"En este fragmento, ""descubrir la desnudez"" es una expresión que significa tener relaciones sexuales. El texto prohíbe tener relaciones sexuales con la esposa de tu padre y con la esposa de tu prójimo, ya que esto es considerado un acto de inmoralidad y contaminación."|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Misión de vida']
Levítico 19:18|No te vengarás, ni guardarás rencor á los hijos de tu pueblo: mas amarás á tu prójimo como á ti mismo: Yo Jehová.|Este versículo nos enseña a no buscar venganza ni guardar rencor contra los demás, sino a amar a nuestro prójimo como a nosotros mismos, siguiendo el mandato de Dios.|['perdón y misericordia']|['Relaciones familiares/pareja', 'Amistad', 'Desarrollo/crecimiento personal']
Levítico 20:10, 13|Y el hombre que adulterare con la mujer de otro, el que cometiere adulterio con la mujer de su prójimo, indefectiblemente se hará morir al adúltero y á la adúltera. ... Y cualquiera que tuviere ayuntamiento con varón como con mujer, abominación hicieron: entrambos han de ser muertos; sobre ellos será su sangre.|Este fragmento del Levítico habla sobre las severas consecuencias del adulterio y las relaciones homosexuales según las leyes del Antiguo Testamento. En el contexto de la época, estas acciones eran consideradas graves ofensas contra la moral y la ley divina, y se castigaban con la muerte.|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Otros']
Levítico 20:13|Y cualquiera que tuviere ayuntamiento con varón como con mujer, abominación hicieron: entrambos han de ser muertos; sobre ellos será su sangre.|Este versículo del Antiguo Testamento refleja las leyes y normas de conducta sexual que se establecieron para los israelitas. En este caso, se condena la relación sexual entre hombres, considerándola una abominación y castigándola con la muerte. Es importante entender que estas leyes fueron dadas en un contexto histórico y cultural específico.|['perversión']|['Relaciones familiares/pareja', 'Salud mental/emocional']
Levítico 21:13-14|Y tomará él mujer con su virginidad. Viuda, ó repudiada, ó infame, ó ramera, éstas no tomará: mas tomará virgen de sus pueblos por mujer.|Este pasaje establece las normas para los sacerdotes en cuanto a con quién pueden casarse. Se les instruye a tomar por esposa a una mujer virgen de su propio pueblo y se les prohíbe casarse con viudas, mujeres repudiadas, infames o rameras.|['matrimonio y el sexo']|['Relaciones familiares/pareja']
Levítico 21:7|Mujer ramera ó infame no tomarán: ni tomarán mujer repudiada de su marido: porque es santo á su Dios.|Este versículo se refiere a las normas que los sacerdotes deben seguir en cuanto a su elección de esposa. No deben casarse con una mujer que haya sido prostituta, deshonrada o divorciada, ya que deben mantener su santidad y pureza ante Dios.|['matrimonio y el sexo']|['Relaciones familiares/pareja', 'Misión de vida']
Levítico 25:18|Ejecutad, pues, mis estatutos, y guardad mis derechos, y ponedlos por obra, y habitaréis en la tierra seguros;|Este versículo instruye a los israelitas a seguir las leyes y mandamientos de Dios para vivir en paz y seguridad en la tierra prometida.|['protección']|['Desarrollo/crecimiento personal', 'Salud mental/emocional', 'Misión de vida']
Levítico 25:23|Y la tierra no se venderá rematadamente, porque la tierra mía es; que vosotros peregrinos y extranjeros sois para conmigo.|Este versículo indica que la tierra no debe ser vendida de manera permanente porque pertenece a Dios. Los israelitas son considerados como peregrinos y extranjeros en la tierra de Dios, lo que subraya la idea de que todo lo que poseen es temporal y bajo la soberanía divina.|['reivindicación']|['Dinero', 'Misión de vida']
Lucas 10:17|Y volvieron los setenta con gozo, diciendo: Señor, aun los demonios se nos sujetan en tu nombre.|Este versículo describe el regreso de los setenta discípulos que Jesús había enviado a predicar y sanar. Ellos regresan con alegría, informando a Jesús que incluso los demonios se someten a ellos cuando usan su nombre. Esto muestra el poder y la autoridad del nombre de Jesús.|['resistencia al diablo']|['Misión de vida', 'Salud mental/emocional']
Lucas 10:19|He aquí os doy potestad de hollar sobre las serpientes y sobre los escorpiones, y sobre toda fuerza del enemigo, y nada os dañará.|En este versículo, Jesús está hablando a sus discípulos y les está dando autoridad y poder sobre las fuerzas del mal, simbolizadas por serpientes y escorpiones. Les asegura que, con esta autoridad, estarán protegidos y no sufrirán daño.|['dificultades', 'resistencia al diablo']|['Misión de vida', 'Salud mental/emocional']
Lucas 10:5|Y dijo á la mujer: Tu fe te ha salvado, ve en paz.|Jesús le dice a la mujer que su fe la ha salvado y le da una bendición de paz. Este versículo resalta la importancia de la fe en la salvación y la paz que proviene de ella.|['paz']|['Salud mental/emocional', 'Desarrollo/crecimiento personal']
Lucas 11:21|Cuando el fuerte armado guarda su atrio, en paz está lo que posee.|"Este versículo utiliza una metáfora para describir la seguridad y la protección. Aquí, ""el fuerte armado"" representa a una persona que está bien preparada y vigilante, y ""su atrio"" simboliza su hogar o sus posesiones. La idea es que cuando alguien está bien preparado y alerta, puede mantener la paz y la seguridad en su vida."|['paz']|['Salud mental/emocional', 'Desarrollo/crecimiento personal', 'Relaciones familiares/pareja']
Lucas 11:9, 10|Y yo os digo: Pedid, y se os dará; buscad, y hallaréis; llamad, y os será abierto. Porque todo aquel que pide, recibe; y el que busca, halla; y al que llama, se abre.|Jesús está enseñando sobre la importancia de la perseverancia en la oración. Nos anima a pedir, buscar y llamar, asegurándonos que Dios responderá a nuestras peticiones, búsquedas y llamados.|['oración']|['Misión de vida', 'Salud mental/emocional']
Lucas 12:48|Mas el que no entendió, é hizo cosas dignas de azotes, será azotado poco: porque á cualquiera que fué dado mucho, mucho será vuelto á demandar de él; y al que encomendaron mucho, más le será pedido.|Este versículo enseña que la responsabilidad es proporcional a los dones y conocimientos recibidos. Aquellos que han recibido más, ya sea en términos de habilidades, recursos o conocimiento, tienen una mayor responsabilidad de usarlos adecuadamente y serán juzgados con mayor severidad si no lo hacen.|['crecimiento espiritual']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Trabajo']
Lucas 14:11|Porque cualquiera que se ensalza, será humillado; y el que se humilla, será ensalzado.|Este versículo enseña sobre la humildad y la importancia de no buscar la autoexaltación. Jesús nos recuerda que aquellos que se engrandecen a sí mismos serán humillados, mientras que aquellos que se humillan serán exaltados por Dios.|['orgullo']|['Desarrollo/crecimiento personal', 'Misión de vida', 'Relaciones familiares/pareja']
Lucas 14:32|De otra manera, cuando aun el otro está lejos, le ruega por la paz, enviándo le embajada.|Este versículo es parte de una parábola donde Jesús habla sobre la importancia de calcular el costo antes de emprender una tarea importante, como construir una torre o ir a la guerra. Aquí, se menciona la prudencia de buscar la paz si uno se da cuenta de que no puede ganar la batalla.|['paz']|['Desarrollo/crecimiento personal', 'Relaciones familiares/pareja', 'Trabajo']
Lucas 14:8|Cuando fueres convidado de alguno á bodas, no te sientes en el primer lugar, no sea que otro más honrado que tú esté por él convidado,|Jesús enseña sobre la humildad y la importancia de no buscar los primeros lugares o la honra para uno mismo. En lugar de eso, debemos ser modestos y dejar que otros nos honren si lo consideran apropiado.|['matrimonio y el sexo']|['Desarrollo/crecimiento personal', 'Relaciones familiares/pareja']
